number,value,datetime_start,datetime_complete,duration,params_LadderTradePBMult,params_LadderTradeSLPct,params_LadderTradeSpotThreshold,params_TargetLadderTradePremium,user_attrs_max_dd_pct,user_attrs_num_trades,user_attrs_profit_factor,user_attrs_sharpe,user_attrs_total_return,user_attrs_win_rate,state
41,2.1811144269107734,2026-03-06 11:30:00.055794,2026-03-06 11:31:47.260786,0 days 00:01:47.204992,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
42,2.1811144269107734,2026-03-06 11:31:47.261228,2026-03-06 11:33:01.307738,0 days 00:01:14.046510,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
43,2.1811144269107734,2026-03-06 11:33:01.308076,2026-03-06 11:34:16.799815,0 days 00:01:15.491739,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
44,1.0448054775382203,2026-03-06 11:34:16.800275,2026-03-06 11:35:56.929018,0 days 00:01:40.128743,4.0,30,2.0,15,18.678697099865797,626.0,1.81963042095477,0.0855014761178301,188452.5,0.145367412140575,COMPLETE
45,2.1811144269107734,2026-03-06 11:35:56.929464,2026-03-06 11:37:10.850120,0 days 00:01:13.920656,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
46,1.4319645786771242,2026-03-06 11:37:10.850615,2026-03-06 11:38:31.245174,0 days 00:01:20.394559,2.0,20,1.5,50,45.8126986366713,736.0,1.56590290450822,0.0712073660303793,345371.25,0.235054347826087,COMPLETE
47,0.824340937926279,2026-03-06 11:38:31.245631,2026-03-06 11:39:52.343265,0 days 00:01:21.097634,1.5,70,0.5,50,43.6026970245598,668.0,1.20822009761191,0.0594615385711421,167505.0,0.580838323353293,COMPLETE
48,0.6931355041921587,2026-03-06 11:39:52.343655,2026-03-06 11:41:13.119310,0 days 00:01:20.775655,4.0,0,2.0,15,50.563785150473095,428.0,1.28582028965264,0.0454974535302595,122778.75,0.254672897196262,COMPLETE
49,1.5676472948368736,2026-03-06 11:41:13.119794,2026-03-06 11:42:30.648384,0 days 00:01:17.528590,2.5,20,2.0,50,40.695705518233,703.0,1.61113227538423,0.0777257381956516,385008.75,0.172119487908962,COMPLETE
50,1.7495959890964947,2026-03-06 11:42:30.648854,2026-03-06 11:43:50.414008,0 days 00:01:19.765154,4.0,20,1.0,50,42.9276878101577,734.0,1.70063519025802,0.0863728471376215,439282.5,0.215258855585831,COMPLETE
51,2.1811144269107734,2026-03-06 11:43:50.414449,2026-03-06 11:45:05.540245,0 days 00:01:15.125796,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
52,2.1811144269107734,2026-03-06 11:45:05.540712,2026-03-06 11:46:19.205051,0 days 00:01:13.664339,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
53,2.1811144269107734,2026-03-06 11:46:19.205548,2026-03-06 11:47:33.694705,0 days 00:01:14.489157,4.0,20,2.0,50,54.419288504285404,680.0,1.91330211897473,0.103048854050282,570551.25,0.123529411764706,COMPLETE
54,1.8534704217237965,2026-03-06 11:47:33.695165,2026-03-06 11:48:37.871132,0 days 00:01:04.175967,4.0,70,2.0,50,80.2365739134364,471.0,1.45971288890424,0.112182919640963,498963.75,0.271762208067941,COMPLETE
55,2.1481386756801215,2026-03-06 11:48:37.871485,2026-03-06 11:49:48.583836,0 days 00:01:10.712351,4.0,30,2.0,50,49.1894265784859,598.0,1.7694026849396,0.108003288176719,566748.75,0.165551839464883,COMPLETE
56,0.9743637604674433,2026-03-06 11:49:48.584197,2026-03-06 11:51:44.491547,0 days 00:01:55.907350,1.5,20,2.0,8,9.4520348706316,674.0,2.28600435097897,0.0689998128557024,133005.0,0.0979228486646884,COMPLETE
57,1.387636852580788,2026-03-06 11:51:44.491923,2026-03-06 11:53:11.351108,0 days 00:01:26.859185,4.0,20,2.0,30,37.939116871550596,688.0,1.77064084010538,0.0922195035781562,311520.0,0.113372093023256,COMPLETE
58,1.5500093516850737,2026-03-06 11:53:11.351487,2026-03-06 11:54:19.329682,0 days 00:01:07.978195,4.0,0,2.0,50,120.468184810097,421.0,1.31703038583421,0.090470686295579,416805.0,0.31353919239905,COMPLETE
59,1.9614647018626457,2026-03-06 11:54:19.330156,2026-03-06 11:55:37.811031,0 days 00:01:18.480875,4.0,20,1.5,50,55.5369024817964,693.0,1.81714743200951,0.0947052948563496,505230.0,0.152958152958153,COMPLETE
